output,parameter,S1,S1_conf,ST,ST_conf
H (segregation),density,0.03801762409600243,0.035820945445075504,0.1486036010799779,0.13635787012706194
H (segregation),defector_frac,0.045651548091058945,0.05417074017414465,0.061638086122182384,0.05497525017064002
H (segregation),neighbourhood_count,0.06292136190616501,0.03341225692135563,0.121079716572382,0.10500532595347901
H (segregation),activation_rate,0.6259647106741846,0.4967515851325322,0.7026487381199679,0.39742122226750204
Moran's I,density,0.31477070048883193,0.08733889665918687,0.44100748791719796,0.07097355378254627
Moran's I,defector_frac,0.037691466028907473,0.026499395327369706,0.10672168900752263,0.051435541380306815
Moran's I,neighbourhood_count,0.3618360868494891,0.09006281005353127,0.5776252135948711,0.09596476735282478
Moran's I,activation_rate,0.09744461436773869,0.09501528122310915,0.1806299571285264,0.09659545812240172
NB variance,density,0.36360872533726324,0.11486417503726822,0.5321889072436965,0.15929347061652516
NB variance,defector_frac,0.026455570240854223,0.02550579046431624,0.09623492196341404,0.03440797144200398
NB variance,neighbourhood_count,0.1307755028825095,0.04676922012124472,0.2492115936124435,0.08000746062269222
NB variance,activation_rate,0.300465088337333,0.2591753187816197,0.407334854142713,0.18509399121040596
