output,parameter,S1,S1_conf,ST,ST_conf
H (segregation),density,0.0643717907200634,0.1374414322978582,0.16256940678463944,0.150413878821273
H (segregation),defector_frac,0.041104982887214654,0.06431854487698391,0.0702663579262764,0.06733857823546519
H (segregation),neighbourhood_count,0.07097076720863506,0.04077391887233702,0.15424775742502336,0.1305028681064601
H (segregation),activation_rate,0.6468402932451938,0.5811768504953534,0.722328298799485,0.336799225192654
Moran's I,density,0.21990472423882385,0.05920899340773464,0.33392818175350736,0.0416203445504433
Moran's I,defector_frac,0.047385791262469154,0.0268580121751397,0.08405993256255921,0.014858327845288111
Moran's I,neighbourhood_count,0.491901532023068,0.0958918818723904,0.6293053970289604,0.06441920631386067
Moran's I,activation_rate,0.0887045862381103,0.08992388039243934,0.1251322166878253,0.055073838166125516
NB variance,density,0.333849693685527,0.1397706063152582,0.5369217258333545,0.13640474572857303
NB variance,defector_frac,0.013096908782566408,0.02756230558712275,0.10611232885403417,0.028674487762711875
NB variance,neighbourhood_count,0.14680946150397314,0.03758720740207015,0.23947165314572227,0.0656122003465772
NB variance,activation_rate,0.3072677912270025,0.2720907490241398,0.37641440591635755,0.1478831343588359
